DOC,YEAR,LAST,FIRST,TITLE,PUBLICATION
doc1,1999,ANDERSON,STANFORD,ARCHITECTURAL HISTORY IN SCHOOLS OF ARCHITECTURE,
doc2,1998,ALLEN,STAN,PRACTICE VS PROJECT,
doc3,2002,ANDERSON,STANFORD,QUASI-AUTONOMY IN ARCHITECTURE: THE SEARCH FOR AN 'IN-BETWEEN',"Perspecta, Vol. 33, Mining Autonomy "
doc4,2006,SCHAFER,ASHLEY,THEORY AFTER (AFTER-THEORY),"PERSPECTA, VOL. 38, ARCHITECTURE AFTER ALL"
doc5,2004,VITTORIO AURELI,PIER,ARCHITECTURE AND CONTENT: WHO'S AFRAID OF THE FORM-OBJECT?,"LOG, vol 4"
doc6,2004,VITTORIO AURELI,PIER,THE DIFFICULT WHOLE,"LOG, "
doc7,1999,BANHAM,REYNER,A BLACK BOX,A CRITIC WRITES
doc8,2008,JOHNSTON,GEORGE BARNET,DRAFTING CONVENTIONS,DRAFTING CULTURE (book)
doc9,2002,BLAU,EVE,Plenary Address,SOCIETY OF ARCHITECTURE HISTORIANS ANNUAL MEETING 2002
doc10,2000,BORDEN + RENDELL,,epistemological challenges in the methodology of theorised architectural history ,"THE JOURNAL OF ARCHITECTURE, VOL 4"
doc11,1969,COLQUHOUN,ALAN,TYPOLOGY AND DESIGN METHOD,"PERSPECTA, VOL 12"
doc12,2006,Cross,Nigel,Design as a Discipline,Designerly Ways of Knowing (book)
doc13,2005,Dean,Penelope,Undisciplined Behavior,Hunch 9
doc14,2004,Cauter,Lieven de,Mechanisms: Technology as Metaphor in Architecture,unknown
doc15,1995,Various,,Inter/Disciplinarity,The Art Bullietin
doc16,2007,Dodds + Erdman,George + Jori,"Architectural Design as Research, Scholarship, Inquiry","Journal of Architecture Education, vol 61 issue 1"
doc17,2009,Dorrian,Mark,A-Disciplinarity and Architecture?,(book)
doc18,2001,Dutta,Arindam,Norming Pedagogy,
doc19,2005,Dutta,Arindam,Organicism,"Journal of the Society of Architectural Historians, Vol. 64, No. 4 "
doc20,2008,Easterling,Keller,Only the Many,"Log, vol 11"
doc21,2000,Eisenman,Peter,Autonomy and the Will to the Critical,"Assemblage, No. 41 "
doc22,2007,Emmons,Paul,Drawn to Scale,From Models to drawings (book)
doc23,2002,Foster,Hal,Design and Crime,Design and Crime (book)
doc24,2002,Foster,Hal,Master Builder,Design and Crime (book)
doc25,1966,Foucault,Michel,Classifying,The Order of Things
doc26,1975,Foucault,Michel,Docile Bodies,Discipline and Punish
doc27,2007,Furjan,Helene,Design/Research : Notes on a Manifesto,"Journal of Architecture Education, vol 61 issue 1"
doc28,2002,Foster,Hal,The ABC's of Contemporary Design,"October, Vol. 100,Obsolescence"
doc29,1996,Harries,Karsten,The Aesthetic Approach,The Ethical Function of Architecture
doc30,2011,Harris,Diane,That's Not Architectural History!,"Journal of the Society of Architectural Historians, Vol. 70, No. 2 "
doc31,2009,Chandler,James,"Introduction: Doctrines, Disciplines, Discourses, Departments",Critical Inquiry 35
doc32,2009,Jarzombek,Mark,"Architecture, A Failed Discipline","Volume, 19"
doc33,1999,Jarzombek,Mark,A Prolegomena to Critical Historiography,"Journal of Architecture Education, vol 52 issue 4"
doc34,2007,Jonas,Wolfgang,Design Research and its Meaning to the Methodological Development of the Discipline,Design Research Now (book)
doc35,2009,Butler,Judith,"Critique, Dissent, Disciplinarity","Critical Inquiry 35, no. 4"
doc36,2005,Kipnis,Jeff,Some Thoughts of Contemporary Painting,Hunch 9
doc37,2004,Koolhaas,Rem,On Content,"Lecture Transcript, April 18, 2004"
doc38,2007,Krippendorff,Klaus,"Design Research, An Oxymoron?",Design Research Now (book)
doc39,2007,Last,Nana,From Exclusion to Incorporation: Formalism's New Limits,"Thresholds, 33"
doc40,2011,Lathouri,Marina,"the City as a Project: Types, Typical Objects, and Typologies",
doc41,2009,Lavin,Sylvia,Kissing Architecture,Log 17
doc42,1999,Lavin,Sylvia," Theory into History; Or, the Will to Anthology "," The Journal of the Society of Architectural Historians, Vol. 58, No. 3 "
doc43,2002,Leach,Neil, Belonging: Towards a Theory of Identification with Place ," Perspecta, Vol. 33, Mining Autonomy "
doc44,2010,Leach,Andrew,History and Theory,What is Architecture History? (book)
doc45,2010,Leach,Andrew,Introduction,What is Architecture History? (book)
doc46,2001,Leatherbarrow,David,Architecture is its own Discipline,Discipline of Architecture (book)
doc47,2007,Linder,Mark,Flatly Confused,Nothing Less than Literal (book)
doc48,2005,Linder,Mark,Literal: there's no denying it,Log 5
doc49,2005,Linder,Mark,Transdisciplinarity,Hunch 9
doc50,2005,Lynn,Greg,Rethinking Case Study Houses,Hunch 9
doc51,2009,Macarthur,John,"Architecture, Disciplinarity, and the Arts","Architecture, Disciplinarity, and the Arts (book)"
doc52,2010,Marshall,John,Undisciplinarity,Digital Blur
doc53,2008,Martin,Reinhold,Empty Form,Log 11
doc54,2004,Massey,Jonathan,New Necessities: Modernist Aesthetic Discipline ,Perspecta vol 35
doc55,2006,McMorrough,Julia,Codes and Guidelines,Materials Structures Standards
doc56,2009,Mitrovic,Branko,Architectural Formalism and the Demise of the Linguistic Turn,Log 17
doc57,2007,Moravansky,Akos,Architecture Theory: A Construction Site,Footprint
doc58,2003,Picon,Antione,Architecture Science Technology,Architecture Science Technology (book)
doc59,2010,Picon,Antione,"Continuity, Complexity, and Emergence",Perspecta vol 42
doc60,2010,Picon,Antione,Does our Technology Make the Past Irrelevant to our Future,History of the Future
doc61,1988,Picon,Antione,The Principles of Training and the Economy of Knowledge,French Architects and Engineers (book)
doc62,2001,Piotrowski,Andrzej,On the Practices of Representing and Knowing Architecture,Discipline of Architecture (book)
doc63,2007,Rawes,Peg,Acts of Imagination and Reflection in Architectural Design,From Models to drawings (book)
